,text,question
0,"City Univ ersity of New Y ork (CUN Y) City Univ ersity of New Y ork (CUN Y) 
CUN Y Academic W orks CUN Y Academic W orks 
Student Theses Baruch College 
Spring 5-18-2020 
Emer ging T echnologies in Healthcar e: Analysis of UNOS Data Emer ging T echnologies in Healthcar e: Analysis of UNOS Data 
Through Machine Learning Through Machine Learning 
Reyhan Mer ekar 
CUN Y Bernar d M Baruch College 
How does access t o this work benefit y ou? Let us know! 
More information about this work at: https:/ /academicworks.cuny .edu/bb_etds/100 
Disco ver additional works at: https:/ /academicworks.cuny .edu 
This work is made publicly a vailable b y the City Univ ersity of New Y ork (CUN Y). 
Contact: AcademicW orks@cuny .edu",What is the title of the thesis written by Reyhan Merekar at CUNY Baruch College?
1,"Emerging Technologies in Healthcare : Analysis of UNOS Data Through Machine Learning  
 
 
by 
 
 
Reyhan Merekar  
 
 
Submitted to the Committee on Undergraduate Honors at Baruch College of the City University 
of New York in partial fulfillment of the requirements for the degree of Bachelor of Business 
Administration in Computer Information Systems with Honors  
 
 
April 27 th, 2020",What is the main focus of Reyhan Merekar's research project as outlined in the context information?
2,"Table of Contents  
 
Acknowledgements  ................................ ................................ ................................ ........................  i 
Abstract  ................................ ................................ ................................ ................................ ..........  ii 
Chapter 1: Introduction  ................................ ................................ ................................ ...............  1 
Chapter 2: Background & Additional Context  ................................ ................................ ..........  3 
Moving to Performance Based Medicine  ................................ ................................ ..............................  3 
Virtual Visits and Wearables  ................................ ................................ ................................ .................  4 
Leveraging Artificial Intelligence  ................................ ................................ ................................ ..........  4 
Emergence of Big Data in Healthcare  ................................ ................................ ................................ ... 5 
Chapter 3: Related Work  ................................ ................................ ................................ .............  7 
Chapter 4: Data & Methodology  ................................ ................................ ...............................  10 
Busi ness Understanding  ................................ ................................ ................................ ........................  11 
Data Understanding  ................................ ................................ ................................ ..............................  11 
Data Preparation  ................................ ................................ ................................ ................................ ... 11 
Model Building  ................................ ................................ ................................ ................................ ...... 12 
Discussion of Rele vant Algorithms  ................................ ................................ ................................ ....................  13 
Resampling Methods  ................................ ................................ ................................ ................................ ..........  17 
Model Evaluation  ................................ ................................ ................................ ................................ .. 18 
Key Metric: Area  Under the Receiver Operating Characteristic Curve (AUC)  ................................ .................  20 
Variable Analysis  ................................ ................................ ................................ ................................ ...............  20 
Chapter 5: Results ................................ ................................ ................................ .......................  21 
Clinically Validated Variables  ................................ ................................ ................................ .............  23 
Chapter 6: Discussion & Insights  ................................ ................................ ..............................  25 
Chapter 7: Conclusion  ................................ ................................ ................................ ................  28 
Chapter 8: Implications  ................................ ................................ ................................ ..............  29 
Data Priva cy ................................ ................................ ................................ ................................ ...........  29 
Data Standardization  ................................ ................................ ................................ ............................  29 
Existing Workforce  ................................ ................................ ................................ ...............................  30 
Chapter 9: Lim itations & Future Directions ................................ ................................ ............  31 
Can mortality be predicted independent of time period?  ................................ ................................ .. 31 
How robust will these models be? How will they scale?  ................................ ................................ .... 31 
Appendix  ................................ ................................ ................................ ................................ ...... 32 
References  ................................ ................................ ................................ ................................ .... 37",Explain the significance of leveraging artificial intelligence in the context of healthcare as discussed in Chapter 2.
3,"Merekar i  
 
Acknowledgements  
 First and foremost, I would like to thank my Faculty Advisor, Professor Arturo 
Castellanos, for providing feedback and guidance throughout this project and most of my 
undergraduate career. We have worked on a few projects together, and it has been a privil ege to 
learn from him throughout these four years. Additionally, I would like to thank my two Faculty 
Readers, Professors Kevin Craig and Zeda Li, for taking time to read my work and provide 
important feedback.  
 Special thanks to Claudio A . Bravo, Miguel A lvarez, and Mahek Shah for devoting time 
out of their busy schedules to provide valuable insight and context throughout this project.  
 Of course, I would like to thank my family for continuously supporting me through my 
undergraduate studies. All of this w ould not be possible without their belief in me.",Who is the Faculty Advisor mentioned in the acknowledgements section and what role did they play in the project?
4,"Merekar ii  
Abstract  
 The healthcare industry is primed for a massive transformation in the coming decades 
due to emerging technologies such as Artificial Intelligence (AI) and Machine Learning. Wi th a 
practical application to the UNOS (United Network of Organ Sharing) database, this Thesis 
seeks to investigate how Machine Learning and analytic methods may be used to predict one-
year heart transplantation outcomes. This study also sought to improve on predictive 
performances from prior studies by analyzing  both Donor and Recipient data. Models built wi th 
algorithms such as Stacking and Tree Boosting gave the highest performance, with AUC’s of 
0.681 0 and 0.68 04, respectively. In this work, a roadmap w as created that justifies the need for 
these technologies in healthcare. In application, the data was prepared, models were built using 
advanced algorithms, and important variables were selected. These steps were continuously done 
with validation from expe rienced clinicians. To yield greater insights in this study, the dataset 
was split row -wise by factors such as LVAD Support, Donor/Recipient Gender Combinations, 
and Time Period; this rendered 8 new datasets for analysis. This work explores the trade -off 
between interpretability and performance in applying analytic methods in a real -world problem 
in this domain. Finally, forward looking industry implications are discussed.",How did the study in the healthcare industry aim to use Machine Learning and analytic methods to predict one-year heart transplantation outcomes?
5,"Merekar 1 
 
Chapter 1: Introduction  
Heart transplantation has been carried out since the 1970s, but still remains one of the 
riskiest procedures today. Formally, a heart transplant is defined as the surgical replacement of 
the heart of a diseased individual with that of a healthy donor  (National Heart, Lung, and Blood 
Institute , “Heart Transplant” ). Typically, p atients who have end -stage heart failure, where the 
heart is severely damaged or weakened, undergo this procedure. Heart failure is caused by 
conditions such as coronary heart disease, hereditary conditions, and/or viral infections (National 
Heart, Lung, and Blood Institute , “Heart Transplant” ). A patient in need of a heart transplant can 
locate donor organs through the United Network for Organ Sharing. This private, non -profit 
organization manages the United States’  organ transplant system and provides a computerized 
national waiting list which assures equal access and fair distribution of organs as they become 
available  (United Network for Organ Sharing, “About UNOS”) . 
Several risk factors are associated with heart transplantation . The first is primary graft 
dysfunction (PGF), which occurs when the donor heart fails and is unable to function (National 
Heart, Lung, and Blood Institute , “Risk Factors” ). This is an immediate issue and usually leads 
to a quick time of de ath for the patient. It is also a major contributor to mortality and 
additionally, may lead other complications (Iyer et al. 1 -2). The patient’s immune system may 
also reject the newly transplanted heart within the first six months of transplantation. To c ombat 
this, the patient must take additional medicine to suppress the immune system. Long term side 
effects associated with this medicine include diabetes, osteoporosis, and kidney damage 
(National Heart, Lung, and Blood Institute , “Risk Factors”).","What is the definition of a heart transplant according to the National Heart, Lung, and Blood Institute?"
6,"Merekar 2 
 
The p resence of technology in healthcare, particularly data science, has begun to emerge 
within  the past few decades. Professionals are beginning to explore the implications of using data 
to provide reliable solutions. H eart transplantation  procedures  are prime d to increase in the 
coming years , which will be driven by the aging population in the United States. According to 
Primers in Medicine, the number of people older than 65 will “double  by 2060 ” (Gedela et al. 
19). Another key trend is heavy investment in AI  and Machine Learning. As reported by 
Accenture, AI investment by healthcare firms will increase to $6B by 2021  (Collier et al. 2).  As 
more people are at risk for end -stage heart failur e and other diseases, AI  and Machine Learning  
can be leveraged to incr ease predictive power  for heart transplantation outcomes and disease 
detection.  
This project aims to  use Machine Learning 1 techniques to predict one -year heart 
transplantation outcomes using queried data from the UNOS registry from 1990 -2016. It also 
strives to build on prior studies in this domain. Predictive models are constructed to help 
clinicians better understand underl ying patterns in Donor and Recipient data. Since the 
underlying models will be able to predict the likelihood of a patient’s survival after one year, 
they will allow the clinician (s) to take the appropriate course of action for treatment .
 
1. In this work, the terms Machine Learning and Data Mining are used interchangeably.","How is the presence of technology, particularly data science, impacting healthcare, specifically in the field of heart transplantation?"
7,"Merekar 3 
 
Chapter 2: Backgr ound & Additional Context  
 The imminence of technology within healthcare has grown rapidly and has been a driver 
of major industry shifts throughout the past decade. One example of such advancements is the 
emergence of AI, specifically, Machine Learning. F ormally defined,  it is the practice of using 
algorithms to build models that learn from any n-number of observations and try to emulate the 
underlying pattern of the phenomena (Beam and Kohane 1317). This concept allows the 
computer to autonomously make de cisions without instructions from the researcher and is better 
suited for higher dimensional datasets where relationships may not necessarily be linear (Beam 
and Kohane 1317). The following trends emphasize why AI will be prevalent and contribute to 
the ev olving landscape of healthcare/medicine.  
Moving to Performance Based Medicine  
The healthcare system in the United States is now moving toward a financial model based 
on value rather than volume. The onus is now on delivering excellent population health thr ough 
treating patients like members. Rather than accounting for revenue due to patient volume, this 
value -based model shows each visit as an expense rather than a source of revenue (Burrill, 
“Health Care Outlook for 2019: Five Trends That Could Impact Heal th Plans, Hospitals, and 
Patients ”). 
This shift will take time, as the current transition has not been entirely smooth. In the 
short term, healthcare firms may see financial hits before longer -term costs decrease. Despite 
this, the value -based model has been embraced as the best method in lowering healthcare costs 
while increasing the quality of care. Since patients are seeking the best care possible, Machine 
Learning can be a catalyst in  providing that, helping people live healthier lives (NEJM Catalyst, 
“What is Value Based Healthcare?”) .",Explain the concept of Machine Learning in the context of healthcare and how it differs from traditional methods of decision-making.
8,"Merekar 4 
 
Virtual Visits and Wearables  
 The general population dreads visiting the doctor, and often, waits until a later date when 
the condition has become more  severe to visit one. This mentality drives up costs for the patient. 
Virtual visits and telehealth serve as a basis to interact with a caregiver without attending the 
office. According to Steve Burrill of Deloitte, this technology helps them “see more pat ients, 
deal with rising clinical complexity, and support patients as they take a greater role in their own 
care.” There is much room to leverage this practice, as currently, only 14% of caregivers are 
utilizing this (Burrill, “ Health Care Outlook for 2019:  Five Trends That Could Impact Health 
Plans, Hospitals,  and Patients”).  
 As the popularity of wearables (e.g., Apple Watch, FitBit) grow, so does the data they 
transmit. The Internet of Medical Things (IoMT) is the health spin -off of the Internet of Thing s. 
This phenomenon can be explained as the “collection of medical, drug delivery devices and 
applications that connect to healthcare IT systems through online computer networks” (D et al. 
290). Medical devices equipped with Wi -Fi allow for machine -to-machi ne interactions. Such a 
phenomenon can help clinicians/healthcare professionals collect data points that may be used for 
disease prediction, patient status checks, and drug developments.  
Leveraging Artificial Intelligence  
 Artificial Intelligence lies at the center of all of these trends. For example, in a virtual 
visit, software can be used to track a person’s mood. Rather than meeting with someone, data 
from a patient’s Electronic Health Record (EHR) can help manage illnesses. Data from 
wearables  and tracking will be used to predict what a diagnosis may be, what drugs can be 
developed to help that will help the patient, and realistic timelines of treatment.",How can virtual visits and telehealth help caregivers in dealing with rising clinical complexity and supporting patients in taking a greater role in their own care?
9,"Merekar 5 
 
 AI aims to mimic human cognition. Rather than fully replace doctors, it must be used in a 
way where professionals are working with AI to enhance clinical decisions. Now, with various 
analytic methods and collections of EHR’s, this is becoming a reality. For example, it is already 
making waves in radiology, oncology, disease prediction/preventio n, and outcome prediction 
with AI system IBM Watson. The system includes underlying Machine Learning models but is 
also a pioneer in the field. According to Jiang et al., “99% of the treatment recommendations 
from Watson are coherent with the physician dec isions” (241). Several reviews have appeared in 
literature referencing similar analytic methods in healthcare; these have covered techniques, 
algorithms, and dataset evaluations. Additionally, research in this space is growing, as the 
number of published p apers has increased by nearly 300% from 2008 to 2015 (Srivastava et al. 
1665). This trend also contributes to the motivation for this study.  
Emergence of Big Data in Healthcare  
 Big data has an incredible potential to yield significant value in healthcar e. This will be 
driven by decreasing costs of data storage, access to powerful but remote cloud computing, 
proliferation of “smart” devices, and the increase in electronic communication. Take for example 
healthcare titan Kaiser Permanente, which consists o f approximately nine million members. The 
firm has the capability to manage up to 44 petabytes of data through its EHR. This is “4,400 
times the equivalent of the data stored in the Library of Congress” (Roski et al. 1115). This 
implies that there is a vas t amount of data readily available for analysis in healthcare.  
 Big data is typically understood as a combination of three concepts – volume, velocity, 
and variety. Volume refers to the amount of data currently present in an enterprise; many expert s 
assert that “90% of the data (stored)” has been created only over the last eight years (Sherman 4). 
Velocity measures the time sensitivity of data; reporting and analysis need to be immediate and","How is AI being used in healthcare to enhance clinical decisions, according to the text?"
